Date,Sales,Cost Of Sales,Quantity Sold,Year of Sales,Month Sales,Sales Month Name,Sales Day Name,Sales Quarter,Weekly Sales,Sales Season,Gross Profit,Gross Profit Margin (%),Average Selling Price,Cost per Unit,Gross Profit per Unit,Gross Profit Margin per Unit (%),7-Day Average Selling Price,30-Day Average Selling Price,30-Day Selling Price Variation,7-Day Average Gross Profit Margin (%),30-Day Average Gross Profit Margin (%),30-Day Average Quantity Sold,Low Price Condition,High Sales Volume Condition,Promotion Day,Promotion Group
2014-01-11,146571.48235324016,143179.66998839285,4297,2014,1,January,Saturday,1,Weekend,Summer,3391.812364847312,2.314101154188355,34.1101890512544,33.3208447727235,0.7893442785309048,2.3141011541883456,33.38333843784242,32.965799777161095,0.7949266995605868,0.4227781040660704,-0.6920938106411014,6236.692307692308,False,False,False,1
2014-01-12,95422.3729783171,93126.14723834406,2796,2014,1,January,Sunday,1,Weekend,Summer,2296.2257399730443,2.406380881446762,34.12817345433373,33.30691961314165,0.8212538411920747,2.4063808814467587,33.62475629431107,33.04882646838771,0.8245047938980257,1.077025283170364,-0.47077418977768254,5990.928571428572,False,False,False,1
2014-01-13,114883.17379115624,112186.30866305273,3369,2014,1,January,Monday,1,Weekday,Summer,2696.8651281035127,2.347484874509202,34.10008126778161,33.29958701782509,0.8004942499565217,2.34748487450921,33.864045289094676,33.118910121680635,0.8395988367520789,1.743191061218113,-0.28289025215855695,5816.133333333333,False,False,False,1
2014-01-14,80090.80007989271,78096.76018225115,2348,2014,1,January,Tuesday,1,Weekday,Summer,1994.03989764156,2.48972403278835,34.110221499102515,33.260971116802025,0.8492503823004895,2.489724032788337,34.10621265812995,33.1808670827695,0.8481448972129081,2.45046422866861,-0.10960185934937525,5599.375,False,False,False,1
2014-01-15,98945.37115907783,97159.00258686997,2903,2014,1,January,Wednesday,1,Weekday,Summer,1786.3685722078517,1.8054089355386282,34.083834364132905,33.468481772948664,0.6153525911842408,1.8054089355386276,34.1097607953741,33.23398280520264,0.8499130342185802,2.3640691872262143,0.003045834467566135,5440.764705882353,False,False,False,1
2014-01-16,84904.90171410782,83350.43315882455,2491,2014,1,January,Thursday,1,Weekday,Summer,1554.468555283267,1.8308348798488465,34.084665481376085,33.46063153706325,0.6240339443128349,1.8308348798488516,34.10384361129395,33.281242953878944,0.8485659972095291,2.2296818137054166,0.10458967032208172,5276.888888888889,False,False,False,1
2014-01-17,135460.61970398517,132703.33541977167,3968,2014,1,January,Friday,1,Weekday,Summer,2757.2842842134996,2.035487723471844,34.13826101410917,33.4433809021602,0.6948801119489687,2.0354877234718494,34.10791801887006,33.32634916757527,0.8477720931076371,2.175631783113141,0.2062158836457534,5208.0,False,False,False,1
2014-01-18,149925.74968577514,146928.41178089235,4393,2014,1,January,Saturday,1,Weekend,Summer,2997.337904882792,1.999214885478193,34.12832908849878,33.44603045319653,0.6822986353022529,1.9992148854781966,34.110509452762116,33.36644816362145,0.8444222128403022,2.130648030440261,0.2958658337373754,5167.25,False,False,False,1
2014-01-19,74297.30718418294,72782.28432140293,2176,2014,1,January,Sunday,1,Weekend,Summer,1515.0228627800097,2.039135629807242,34.14398308096642,33.44774095652708,0.696242124439344,2.0391356298072454,34.112767970852495,33.40347363587597,0.8403481584261885,2.0781844230631865,0.3788786811692738,5024.809523809524,False,False,False,1
2014-01-20,83356.4245612027,81789.13612235275,2443,2014,1,January,Monday,1,Weekday,Summer,1567.2884388499515,1.8802251261379415,34.12051762636214,33.47897508078295,0.6415425455791848,1.880225126137938,34.115687450649716,33.436066544534434,0.8342228228777354,2.0114330304387207,0.44712170139512236,4907.454545454545,False,False,False,1
2014-01-21,89922.01428617258,88388.91606915972,2638,2014,1,January,Tuesday,1,Weekday,Summer,1533.0982170128555,1.7049197898679658,34.087192678609775,33.50603338482173,0.5811592937880476,1.7049197898679813,34.11239761915075,33.46437637645075,0.8262735089070897,1.8993181385929516,0.501808574806985,4808.782608695652,False,False,False,1
2014-01-22,57806.30278009904,57157.2825440923,1704,2014,1,January,Wednesday,1,Weekday,Summer,649.0202360067415,1.1227499507721146,33.92388660803934,33.543006187847595,0.38088042019174395,1.1227499507720977,34.089547939708815,33.48352263610028,0.8135367179710894,1.8017954264834495,0.5276811321388655,4679.416666666667,False,False,False,1
2014-01-23,63977.75034892355,62863.98723906299,1872,2014,1,January,Thursday,1,Weekday,Summer,1113.7631098605634,1.7408600705499842,34.17614869066429,33.581189764456724,0.5949589262075676,1.7408600705499895,34.102616969607126,33.511227678282836,0.8083653109209413,1.788941882297898,0.5762082896753102,4567.12,False,False,False,1
2014-01-24,116958.79984795197,114823.79522381267,3423,2014,1,January,Friday,1,Weekday,Summer,2135.0046241392993,1.8254330814909476,34.16850711304469,33.54478388075159,0.6237232322931021,1.8254330814909383,34.10693784088363,33.53650765654291,0.8024539280767897,1.758934076300627,0.6242553970528347,4523.115384615385,False,False,False,1
2014-01-25,155272.82480548017,152636.27656236594,4544,2014,1,January,Saturday,1,Weekend,Summer,2636.54824311423,1.6980100970129166,34.170956163177856,33.590729877281234,0.5802262858966216,1.6980100970129288,34.11302742298064,33.56000574938124,0.7962876423853964,1.7159048208055874,0.6640240896439489,4523.888888888889,False,True,False,1
2014-01-26,82885.21590976272,81583.16694985318,2426,2014,1,January,Sunday,1,Weekend,Summer,1302.0489599095308,1.5709061569280025,34.16538166107284,33.6286755770211,0.5367060840517439,1.5709061569280025,34.11608436299584,33.58162631765594,0.7897330929341436,1.6490148961085533,0.6964127349040936,4448.964285714285,False,False,False,1
2014-01-27,72353.4258824533,71377.15645543634,2117,2014,1,January,Monday,1,Weekday,Summer,976.2694270169595,1.3493064289768735,34.17733863129585,33.716181603890576,0.461157027405271,1.3493064289768721,34.12420164941495,33.60216812157456,0.7833524982662065,1.5731693679426864,0.7189263105617757,4368.551724137931,False,False,False,1
2014-01-28,50415.903762389156,49769.09824300322,1476,2014,1,January,Tuesday,1,Weekday,Summer,646.8055193859327,1.2829394518728376,34.15711637018236,33.71890124864717,0.4382151215351868,1.2829394518728434,34.13419074821103,33.62066639652815,0.776367620806431,1.5128864625148108,0.7377267486054778,4272.133333333333,False,False,False,1
2014-01-29,67458.30189127379,66529.44199653144,1974,2014,1,January,Wednesday,1,Weekday,Summer,928.8598947423452,1.3769393368950187,34.17340521341124,33.70285815427125,0.47054705913999584,1.3769393368950285,34.169836263264166,33.666386183268216,0.7668102734756383,1.5491992319609402,0.8750436910355608,4110.366666666667,False,False,False,1
2014-01-30,64640.3693131938,63757.83986845208,1892,2014,1,January,Thursday,1,Weekday,Summer,882.5294447417182,1.3652914643258147,34.16510005982759,33.698646864932385,0.46645319489520176,1.3652914643258203,34.16825788743035,33.724998838967025,0.7336925078119673,1.4955465739289158,0.9942533760657938,3864.5,False,False,False,1
2014-01-31,137693.8735003314,135609.50758204967,4030,2014,1,January,Friday,1,Weekday,Summer,2084.365918281721,1.513768089527022,34.16721426807231,33.650001881401906,0.5172123866704013,1.5137680895270191,34.168073195291434,33.78371594230882,0.6938750105686626,1.4510230036483551,1.0909524696623394,3909.5666666666666,False,True,False,1
2014-02-01,181209.1284812126,178435.71534579594,5304,2014,2,February,Saturday,1,Weekend,Summer,2773.41313541666,1.5305040969303056,34.164616983637366,33.64172612100225,0.5228908626351156,1.530504096930302,34.16716759821422,33.84197987278808,0.6469270406738298,1.427093575065125,1.1870645883464126,3880.5333333333333,False,True,False,1
